Frequency,Magnitude,Phase
1000000000,0.999367543636,-0.0554581454489
1005000000,0.999831838579,-0.0563855911031
1010000000,0.999109531829,-0.0561584172368
1015000000,0.999716811716,-0.0561521553662
1020000000,0.999696166811,-0.0563400451513
1025000000,0.9997778032,-0.0569035443895
1030000000,0.999987693081,-0.0570368534159
1035000000,0.999562237348,-0.0577709079451
1040000000,0.999442001033,-0.0580323855388
1045000000,0.999326191676,-0.0586401375312
1050000000,0.999150917676,-0.0586731188599
1055000000,0.999427355728,-0.0588895105805
1060000000,0.99961781216,-0.0589744720768
1065000000,0.999768854975,-0.0593821213658
1070000000,0.999716922863,-0.0594716689088
1075000000,0.999499542628,-0.0598021388115
1080000000,0.999353132972,-0.0601485560996
1085000000,0.999203904454,-0.0605038552705
1090000000,0.998940514459,-0.0608778485369
1095000000,0.998341394136,-0.0616391363894
1100000000,0.999421859808,-0.0620165981366
1105000000,0.999373778555,-0.0620952024515
1110000000,0.999874016423,-0.0624794835667
1115000000,0.999839901332,-0.06251749865
1120000000,0.999940342291,-0.0630719518278
1125000000,0.999925807121,-0.0630270663244
1130000000,0.99940557664,-0.0639326600564
1135000000,0.999398017987,-0.0638693255654
1140000000,0.998994698463,-0.0644352266145
1145000000,0.998661945532,-0.0645011733404
1150000000,0.998298611651,-0.0648605005543
1155000000,0.998674676764,-0.0652889369195
1160000000,0.998639978562,-0.0660898622824
1165000000,0.999070668034,-0.0665086381162
1170000000,0.998929431232,-0.0669579964069
1175000000,0.99895061571,-0.0671033142368
1180000000,0.998453613139,-0.0675103129086
1185000000,0.998450419677,-0.0676742412268
1190000000,0.998075986852,-0.0677749939385
1195000000,0.997589600651,-0.0675152234039
1200000000,0.998132044317,-0.0681777826187
1205000000,0.997843612653,-0.0683774453901
1210000000,0.997251251017,-0.0697011026085
1215000000,0.99713020173,-0.0700735503706
1220000000,0.997233892669,-0.0701013512061
1225000000,0.996506763191,-0.0712891108785
1230000000,0.996786820608,-0.0713836932984
1235000000,0.996410870639,-0.0710555996531
1240000000,0.997182363295,-0.070977592594
1245000000,0.997687692665,-0.0711817287926
1250000000,0.997143867678,-0.0706040865404
1255000000,0.99686213382,-0.0720582096497
1260000000,0.996062261197,-0.0719572686584
1265000000,0.995788815745,-0.0724674466114
1270000000,0.995760153275,-0.0728580075544
1275000000,0.995848456543,-0.0730565084234
1280000000,0.996182416179,-0.0725768908637
1285000000,0.996501515938,-0.0731417245108
1290000000,0.996192306057,-0.0738088041829
1295000000,0.996383240745,-0.0734072704942
1300000000,0.996838692745,-0.0737178232427
1305000000,0.996868166727,-0.0744261145452
1310000000,0.996300123469,-0.0744364007749
1315000000,0.996272264539,-0.0742371488965
